left_arm_local_X,left_arm_local_Y,left_arm_local_Z,right_arm_local_X,right_arm_local_Y,right_arm_local_Z,left_leg_local_X,left_leg_local_Y,left_leg_local_Z,right_leg_local_X,right_leg_local_Y,right_leg_local_Z,waist_head_local_X,waist_head_local_Y,waist_head_local_Z,left_arm_local_distX,left_arm_local__distY,left_arm_local__distZ,right_arm_local__distX,right_arm_local__distY,right_arm_local__distZ,left_leg_local__distX,left_leg_local__distY,left_leg_local__distZ,right_leg_local__distX,right_leg_local__distY,right_leg_local__distZ,waist_head_local__distX,waist_head_local__distY,waist_head_local__distZ,left_arm_global_X,left_arm_global_Y,left_arm_global_Z,right_arm_global_X,right_arm_global_Y,right_arm_global_Z,left_leg_global_X,left_leg_global_Y,left_leg_global_Z,right_leg_global_X,right_leg_global_Y,right_leg_global_Z,waist_head_global_X,waist_head_global_Y,waist_head_global_Z,left_arm_global_distX,left_arm_global__distY,left_arm_global__distZ,right_arm_global__distX,right_arm_global__distY,right_arm_global__distZ,left_leg_global__distX,left_leg_global__distY,left_leg_global__distZ,right_leg_global__distX,right_leg_global__distY,right_global__leg_distZ,waist_head_global__distX,waist_head_global__distY,waist_head_global__distZ,label
-2.0,68.0,24.0,7.0,65.0,1.0,2.0,105.0,-3.0,4.0,105.0,-1.0,-1.0,-65.0,36.0,2.0,1.0,2.0,7.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,-22.0,33.0,41.0,23.0,29.0,15.0,-17.0,105.0,25.0,21.0,105.0,27.0,-1.0,-65.0,36.0,22.0,0.0,22.0,23.0,1.0,23.0,19.0,0.0,19.0,19.0,0.0,19.0,1.0,0.0,1.0,3
-2.0,69.0,20.0,8.0,66.0,6.0,1.0,105.0,0.0,3.0,105.0,-3.0,-1.0,-65.0,37.0,2.0,1.0,2.0,8.0,1.0,8.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,-22.0,33.0,37.0,24.0,30.0,21.0,-18.0,105.0,26.0,20.0,105.0,27.0,-1.0,-65.0,37.0,22.0,0.0,22.0,22.0,0.0,22.0,18.0,1.0,18.0,20.0,0.0,20.0,1.0,1.0,1.0,3
-1.0,68.0,15.0,8.0,65.0,5.0,2.0,105.0,0.0,4.0,104.0,-3.0,-1.0,-64.0,40.0,5.0,1.0,5.0,8.0,0.0,8.0,2.0,0.0,2.0,4.0,1.0,4.0,1.0,0.0,1.0,-22.0,33.0,33.0,23.0,30.0,19.0,-17.0,106.0,27.0,21.0,105.0,26.0,-1.0,-64.0,40.0,24.0,1.0,24.0,23.0,0.0,23.0,17.0,0.0,17.0,21.0,0.0,21.0,1.0,0.0,1.0,3
-3.0,67.0,15.0,8.0,65.0,4.0,3.0,105.0,-6.0,5.0,105.0,-1.0,1.0,-64.0,38.0,3.0,0.0,3.0,6.0,1.0,6.0,3.0,0.0,3.0,5.0,0.0,5.0,1.0,1.0,1.0,-23.0,32.0,31.0,24.0,30.0,16.0,-15.0,106.0,24.0,23.0,105.0,24.0,1.0,-64.0,38.0,23.0,0.0,23.0,22.0,1.0,22.0,15.0,0.0,15.0,23.0,0.0,23.0,1.0,1.0,1.0,3
-3.0,67.0,13.0,7.0,64.0,-2.0,3.0,105.0,-6.0,5.0,105.0,-2.0,0.0,-63.0,38.0,3.0,1.0,3.0,7.0,0.0,7.0,3.0,1.0,3.0,5.0,0.0,5.0,0.0,0.0,0.0,-23.0,32.0,29.0,23.0,29.0,9.0,-15.0,106.0,24.0,23.0,105.0,24.0,0.0,-63.0,38.0,23.0,1.0,23.0,23.0,1.0,23.0,15.0,0.0,15.0,23.0,0.0,23.0,0.0,0.0,0.0,3
-3.0,68.0,22.0,13.0,64.0,14.0,3.0,104.0,-9.0,5.0,105.0,0.0,1.0,-63.0,38.0,3.0,1.0,3.0,13.0,14.0,13.0,3.0,0.0,3.0,5.0,1.0,5.0,1.0,0.0,1.0,-23.0,33.0,38.0,28.0,30.0,22.0,-15.0,106.0,23.0,23.0,105.0,24.0,1.0,-63.0,38.0,23.0,2.0,23.0,28.0,14.0,28.0,15.0,1.0,15.0,23.0,1.0,23.0,1.0,0.0,1.0,3
-1.0,67.0,19.0,31.0,50.0,72.0,4.0,104.0,-11.0,6.0,104.0,3.0,0.0,-63.0,40.0,9.0,1.0,9.0,31.0,22.0,31.0,4.0,1.0,4.0,6.0,1.0,6.0,0.0,1.0,0.0,-22.0,31.0,37.0,46.0,16.0,79.0,-14.0,105.0,22.0,24.0,104.0,25.0,0.0,-63.0,40.0,24.0,1.0,24.0,46.0,23.0,46.0,14.0,0.0,14.0,24.0,0.0,24.0,0.0,1.0,0.0,3
-5.0,66.0,28.0,36.0,28.0,98.0,5.0,105.0,-13.0,7.0,105.0,5.0,2.0,-64.0,39.0,9.0,2.0,9.0,34.0,23.0,34.0,5.0,1.0,5.0,7.0,1.0,7.0,2.0,0.0,2.0,-23.0,30.0,48.0,53.0,-7.0,102.0,-11.0,105.0,23.0,27.0,104.0,24.0,2.0,-64.0,39.0,27.0,3.0,27.0,53.0,23.0,53.0,11.0,1.0,11.0,27.0,1.0,27.0,2.0,0.0,2.0,3
-7.0,64.0,39.0,35.0,5.0,96.0,5.0,104.0,-16.0,9.0,104.0,8.0,3.0,-64.0,37.0,19.0,2.0,19.0,13.0,35.0,13.0,5.0,0.0,5.0,3.0,0.0,3.0,3.0,1.0,3.0,-25.0,27.0,58.0,53.0,-30.0,101.0,-11.0,104.0,20.0,28.0,103.0,26.0,3.0,-64.0,37.0,33.0,1.0,33.0,33.0,34.0,33.0,13.0,1.0,13.0,22.0,1.0,22.0,3.0,1.0,3.0,3
-13.0,62.0,45.0,24.0,-30.0,64.0,5.0,104.0,-14.0,6.0,104.0,2.0,5.0,-63.0,38.0,13.0,0.0,13.0,12.0,2.0,12.0,5.0,0.0,5.0,6.0,0.0,6.0,5.0,0.0,5.0,-29.0,26.0,64.0,43.0,-64.0,71.0,-12.0,105.0,20.0,25.0,104.0,24.0,5.0,-63.0,38.0,29.0,0.0,29.0,33.0,2.0,33.0,12.0,0.0,12.0,25.0,0.0,25.0,5.0,0.0,5.0,3
-12.0,62.0,39.0,18.0,-32.0,39.0,5.0,104.0,-17.0,7.0,104.0,4.0,5.0,-63.0,33.0,12.0,1.0,12.0,14.0,0.0,14.0,5.0,0.0,5.0,7.0,0.0,7.0,5.0,0.0,5.0,-28.0,26.0,57.0,38.0,-66.0,45.0,-12.0,105.0,18.0,26.0,104.0,24.0,5.0,-63.0,33.0,28.0,1.0,28.0,34.0,0.0,34.0,12.0,0.0,12.0,26.0,0.0,26.0,5.0,0.0,5.0,3
-11.0,63.0,33.0,16.0,-32.0,39.0,5.0,104.0,-16.0,7.0,104.0,3.0,6.0,-63.0,33.0,11.0,2.0,11.0,10.0,3.0,10.0,1.0,1.0,1.0,5.0,0.0,5.0,2.0,1.0,2.0,-26.0,27.0,50.0,36.0,-66.0,45.0,-12.0,105.0,19.0,26.0,104.0,24.0,6.0,-63.0,33.0,26.0,1.0,26.0,30.0,3.0,30.0,16.0,1.0,16.0,24.0,0.0,24.0,2.0,1.0,2.0,3
-7.0,65.0,22.0,13.0,-29.0,89.0,3.0,105.0,-13.0,6.0,104.0,2.0,4.0,-64.0,35.0,7.0,1.0,7.0,3.0,35.0,3.0,1.0,1.0,1.0,6.0,0.0,6.0,2.0,1.0,2.0,-23.0,28.0,39.0,33.0,-63.0,96.0,-14.0,104.0,20.0,25.0,104.0,24.0,4.0,-64.0,35.0,23.0,1.0,23.0,15.0,35.0,15.0,16.0,0.0,16.0,23.0,0.0,23.0,2.0,1.0,2.0,3
-6.0,66.0,16.0,5.0,6.0,132.0,2.0,104.0,-13.0,6.0,104.0,4.0,3.0,-65.0,35.0,6.0,0.0,6.0,17.0,33.0,17.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,-23.0,29.0,34.0,24.0,-28.0,140.0,-15.0,104.0,21.0,24.0,104.0,26.0,3.0,-65.0,35.0,23.0,1.0,23.0,2.0,33.0,2.0,19.0,1.0,19.0,20.0,1.0,20.0,1.0,1.0,1.0,3
-4.0,66.0,21.0,-6.0,39.0,126.0,1.0,104.0,-7.0,4.0,105.0,2.0,1.0,-64.0,36.0,4.0,0.0,4.0,16.0,5.0,16.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,-23.0,30.0,36.0,11.0,5.0,137.0,-17.0,105.0,23.0,22.0,105.0,27.0,1.0,-64.0,36.0,23.0,0.0,23.0,3.0,4.0,3.0,23.0,0.0,23.0,14.0,0.0,14.0,1.0,0.0,1.0,3
-3.0,66.0,27.0,-11.0,44.0,116.0,-1.0,104.0,-1.0,2.0,106.0,-5.0,0.0,-64.0,32.0,7.0,1.0,7.0,13.0,18.0,13.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,-23.0,30.0,36.0,4.0,9.0,134.0,-20.0,105.0,24.0,18.0,105.0,26.0,0.0,-64.0,32.0,27.0,1.0,27.0,2.0,17.0,2.0,20.0,0.0,20.0,18.0,0.0,18.0,2.0,1.0,2.0,3
-5.0,65.0,26.0,-12.0,26.0,122.0,1.0,104.0,-2.0,2.0,105.0,-3.0,-1.0,-63.0,34.0,7.0,1.0,7.0,12.0,22.0,12.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,-25.0,29.0,36.0,3.0,-8.0,140.0,-19.0,105.0,23.0,18.0,105.0,27.0,-1.0,-63.0,34.0,25.0,1.0,25.0,3.0,23.0,3.0,19.0,0.0,19.0,18.0,0.0,18.0,1.0,1.0,1.0,3
-6.0,66.0,16.0,-8.0,4.0,124.0,2.0,104.0,-7.0,3.0,105.0,-2.0,4.0,-64.0,38.0,8.0,0.0,8.0,8.0,38.0,8.0,2.0,0.0,2.0,3.0,0.0,3.0,0.0,1.0,0.0,-23.0,30.0,30.0,10.0,-31.0,137.0,-16.0,105.0,21.0,21.0,105.0,25.0,4.0,-64.0,38.0,23.0,0.0,23.0,10.0,37.0,10.0,16.0,1.0,16.0,21.0,0.0,21.0,0.0,1.0,0.0,3
-7.0,66.0,15.0,-1.0,-34.0,106.0,3.0,104.0,-12.0,6.0,105.0,3.0,2.0,-63.0,40.0,7.0,1.0,7.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,-23.0,30.0,31.0,19.0,-68.0,114.0,-14.0,104.0,21.0,24.0,105.0,26.0,2.0,-63.0,40.0,25.0,0.0,25.0,19.0,5.0,19.0,20.0,0.0,20.0,16.0,1.0,16.0,2.0,2.0,2.0,3
-6.0,67.0,16.0,8.0,-38.0,71.0,2.0,104.0,-5.0,4.0,105.0,-5.0,2.0,-65.0,41.0,10.0,2.0,10.0,8.0,2.0,8.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,-24.0,30.0,28.0,26.0,-73.0,88.0,-17.0,104.0,22.0,20.0,104.0,25.0,2.0,-65.0,41.0,26.0,2.0,26.0,26.0,2.0,26.0,17.0,1.0,17.0,20.0,0.0,20.0,2.0,0.0,2.0,3
-8.0,65.0,14.0,10.0,-36.0,56.0,2.0,105.0,-3.0,3.0,104.0,-5.0,3.0,-65.0,38.0,8.0,0.0,8.0,6.0,10.0,6.0,2.0,1.0,2.0,3.0,0.0,3.0,3.0,1.0,3.0,-25.0,28.0,25.0,28.0,-71.0,73.0,-17.0,105.0,22.0,20.0,104.0,25.0,3.0,-65.0,38.0,25.0,0.0,25.0,28.0,10.0,28.0,17.0,1.0,17.0,20.0,0.0,20.0,3.0,1.0,3.0,3
-6.0,65.0,18.0,8.0,-26.0,87.0,3.0,104.0,-11.0,5.0,104.0,2.0,3.0,-64.0,38.0,6.0,0.0,6.0,18.0,27.0,18.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,-22.0,28.0,34.0,28.0,-61.0,96.0,-14.0,104.0,21.0,24.0,104.0,26.0,3.0,-64.0,38.0,22.0,0.0,22.0,0.0,27.0,0.0,18.0,0.0,18.0,20.0,0.0,20.0,1.0,1.0,1.0,3
-5.0,65.0,23.0,-5.0,1.0,136.0,2.0,104.0,-8.0,4.0,105.0,0.0,2.0,-65.0,32.0,5.0,1.0,5.0,19.0,27.0,19.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,-21.0,28.0,40.0,14.0,-34.0,150.0,-16.0,104.0,22.0,22.0,104.0,26.0,2.0,-65.0,32.0,23.0,1.0,23.0,4.0,27.0,4.0,18.0,1.0,18.0,20.0,0.0,20.0,0.0,0.0,0.0,3
-3.0,66.0,29.0,-12.0,28.0,136.0,1.0,105.0,-7.0,4.0,105.0,3.0,1.0,-65.0,32.0,5.0,1.0,5.0,24.0,13.0,24.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-22.0,29.0,44.0,5.0,-7.0,148.0,-17.0,105.0,24.0,21.0,104.0,28.0,1.0,-65.0,32.0,26.0,0.0,26.0,11.0,12.0,11.0,21.0,0.0,21.0,15.0,0.0,15.0,1.0,1.0,1.0,3
-4.0,65.0,28.0,-18.0,41.0,118.0,0.0,105.0,1.0,2.0,105.0,-6.0,1.0,-64.0,32.0,4.0,0.0,4.0,20.0,1.0,20.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,-24.0,29.0,37.0,-3.0,5.0,137.0,-19.0,105.0,25.0,18.0,104.0,26.0,1.0,-64.0,32.0,24.0,0.0,24.0,5.0,1.0,5.0,19.0,0.0,19.0,18.0,0.0,18.0,1.0,1.0,1.0,3
