left_arm_local_X,left_arm_local_Y,left_arm_local_Z,right_arm_local_X,right_arm_local_Y,right_arm_local_Z,left_leg_local_X,left_leg_local_Y,left_leg_local_Z,right_leg_local_X,right_leg_local_Y,right_leg_local_Z,waist_head_local_X,waist_head_local_Y,waist_head_local_Z,left_arm_local_distX,left_arm_local__distY,left_arm_local__distZ,right_arm_local__distX,right_arm_local__distY,right_arm_local__distZ,left_leg_local__distX,left_leg_local__distY,left_leg_local__distZ,right_leg_local__distX,right_leg_local__distY,right_leg_local__distZ,waist_head_local__distX,waist_head_local__distY,waist_head_local__distZ,left_arm_global_X,left_arm_global_Y,left_arm_global_Z,right_arm_global_X,right_arm_global_Y,right_arm_global_Z,left_leg_global_X,left_leg_global_Y,left_leg_global_Z,right_leg_global_X,right_leg_global_Y,right_leg_global_Z,waist_head_global_X,waist_head_global_Y,waist_head_global_Z,left_arm_global_distX,left_arm_global__distY,left_arm_global__distZ,right_arm_global__distX,right_arm_global__distY,right_arm_global__distZ,left_leg_global__distX,left_leg_global__distY,left_leg_global__distZ,right_leg_global__distX,right_leg_global__distY,right_global__leg_distZ,waist_head_global__distX,waist_head_global__distY,waist_head_global__distZ,label
-5.0,68.0,12.0,1.0,68.0,15.0,7.0,111.0,-17.0,-3.0,115.0,11.0,2.0,-76.0,54.0,9.0,0.0,9.0,1.0,1.0,1.0,3.0,0.0,3.0,5.0,0.0,5.0,0.0,1.0,0.0,-25.0,27.0,34.0,20.0,29.0,40.0,-10.0,112.0,13.0,11.0,117.0,44.0,2.0,-76.0,54.0,29.0,0.0,29.0,18.0,0.0,18.0,14.0,0.0,14.0,9.0,0.0,9.0,0.0,1.0,0.0,18
-7.0,68.0,12.0,0.0,69.0,14.0,5.0,111.0,-14.0,-4.0,115.0,11.0,1.0,-77.0,56.0,7.0,1.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,0.0,1.0,-27.0,27.0,35.0,19.0,29.0,42.0,-12.0,112.0,14.0,10.0,117.0,46.0,1.0,-77.0,56.0,27.0,1.0,27.0,19.0,0.0,19.0,18.0,0.0,18.0,8.0,1.0,8.0,1.0,0.0,1.0,18
-6.0,67.0,7.0,2.0,69.0,12.0,3.0,112.0,-12.0,-4.0,114.0,9.0,0.0,-77.0,56.0,6.0,0.0,6.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,0.0,4.0,2.0,1.0,2.0,-27.0,26.0,31.0,20.0,29.0,39.0,-15.0,112.0,15.0,9.0,116.0,43.0,0.0,-77.0,56.0,27.0,1.0,27.0,20.0,1.0,20.0,17.0,3.0,17.0,9.0,0.0,9.0,2.0,1.0,2.0,18
-6.0,67.0,8.0,2.0,68.0,8.0,1.0,115.0,6.0,-4.0,114.0,11.0,-1.0,-76.0,59.0,6.0,0.0,6.0,2.0,0.0,2.0,1.0,1.0,1.0,6.0,0.0,6.0,7.0,0.0,7.0,-27.0,27.0,33.0,20.0,28.0,38.0,-16.0,115.0,35.0,10.0,116.0,43.0,-1.0,-76.0,59.0,27.0,1.0,27.0,20.0,1.0,20.0,18.0,0.0,18.0,6.0,0.0,6.0,7.0,0.0,7.0,18
-5.0,67.0,9.0,4.0,68.0,0.0,0.0,114.0,7.0,-5.0,114.0,12.0,-4.0,-76.0,62.0,5.0,0.0,5.0,4.0,0.0,4.0,2.0,0.0,2.0,7.0,0.0,7.0,4.0,0.0,4.0,-27.0,28.0,35.0,21.0,27.0,33.0,-17.0,115.0,36.0,8.0,116.0,45.0,-4.0,-76.0,62.0,27.0,0.0,27.0,21.0,0.0,21.0,19.0,0.0,19.0,8.0,0.0,8.0,4.0,0.0,4.0,18
-5.0,67.0,14.0,6.0,68.0,-4.0,-1.0,114.0,7.0,-6.0,114.0,13.0,-3.0,-76.0,61.0,11.0,0.0,11.0,6.0,0.0,6.0,3.0,0.0,3.0,8.0,0.0,8.0,7.0,1.0,7.0,-27.0,28.0,39.0,23.0,27.0,30.0,-18.0,115.0,35.0,8.0,116.0,47.0,-3.0,-76.0,61.0,33.0,1.0,33.0,23.0,1.0,23.0,18.0,1.0,18.0,6.0,1.0,6.0,7.0,1.0,7.0,18
-8.0,67.0,4.0,7.0,68.0,-9.0,-2.0,114.0,8.0,-7.0,114.0,13.0,-5.0,-75.0,62.0,8.0,1.0,8.0,7.0,1.0,7.0,6.0,1.0,6.0,11.0,0.0,11.0,7.0,1.0,7.0,-30.0,29.0,29.0,24.0,28.0,23.0,-18.0,116.0,36.0,7.0,117.0,46.0,-5.0,-75.0,62.0,32.0,1.0,32.0,24.0,1.0,24.0,22.0,1.0,22.0,5.0,0.0,5.0,7.0,1.0,7.0,18
-8.0,68.0,9.0,9.0,67.0,-8.0,-4.0,113.0,5.0,-9.0,114.0,9.0,-6.0,-76.0,60.0,12.0,2.0,12.0,7.0,0.0,7.0,4.0,1.0,4.0,9.0,0.0,9.0,8.0,0.0,8.0,-31.0,30.0,35.0,25.0,27.0,25.0,-20.0,115.0,33.0,6.0,117.0,42.0,-6.0,-76.0,60.0,37.0,1.0,37.0,21.0,0.0,21.0,22.0,1.0,22.0,4.0,0.0,4.0,8.0,0.0,8.0,18
-10.0,66.0,5.0,8.0,67.0,-6.0,-4.0,114.0,10.0,-9.0,114.0,9.0,-7.0,-76.0,58.0,10.0,1.0,10.0,6.0,0.0,6.0,6.0,1.0,6.0,9.0,1.0,9.0,11.0,1.0,11.0,-34.0,29.0,31.0,23.0,27.0,26.0,-21.0,116.0,38.0,5.0,117.0,42.0,-7.0,-76.0,58.0,34.0,3.0,34.0,23.0,1.0,23.0,21.0,1.0,21.0,5.0,0.0,5.0,11.0,1.0,11.0,18
-9.0,67.0,-3.0,7.0,67.0,-9.0,-5.0,115.0,15.0,-8.0,115.0,12.0,-9.0,-75.0,59.0,9.0,1.0,9.0,7.0,0.0,7.0,9.0,2.0,9.0,8.0,1.0,8.0,13.0,0.0,13.0,-32.0,32.0,27.0,23.0,26.0,24.0,-21.0,117.0,45.0,7.0,117.0,43.0,-9.0,-75.0,59.0,32.0,1.0,32.0,21.0,1.0,21.0,23.0,2.0,23.0,7.0,1.0,7.0,13.0,0.0,13.0,18
