left_arm_local_X,left_arm_local_Y,left_arm_local_Z,right_arm_local_X,right_arm_local_Y,right_arm_local_Z,left_leg_local_X,left_leg_local_Y,left_leg_local_Z,right_leg_local_X,right_leg_local_Y,right_leg_local_Z,waist_head_local_X,waist_head_local_Y,waist_head_local_Z,left_arm_local_distX,left_arm_local__distY,left_arm_local__distZ,right_arm_local__distX,right_arm_local__distY,right_arm_local__distZ,left_leg_local__distX,left_leg_local__distY,left_leg_local__distZ,right_leg_local__distX,right_leg_local__distY,right_leg_local__distZ,waist_head_local__distX,waist_head_local__distY,waist_head_local__distZ,left_arm_global_X,left_arm_global_Y,left_arm_global_Z,right_arm_global_X,right_arm_global_Y,right_arm_global_Z,left_leg_global_X,left_leg_global_Y,left_leg_global_Z,right_leg_global_X,right_leg_global_Y,right_leg_global_Z,waist_head_global_X,waist_head_global_Y,waist_head_global_Z,left_arm_global_distX,left_arm_global__distY,left_arm_global__distZ,right_arm_global__distX,right_arm_global__distY,right_arm_global__distZ,left_leg_global__distX,left_leg_global__distY,left_leg_global__distZ,right_leg_global__distX,right_leg_global__distY,right_global__leg_distZ,waist_head_global__distX,waist_head_global__distY,waist_head_global__distZ,label
-9.0,68.0,30.0,-1.0,71.0,-2.0,32.0,85.0,-74.0,-27.0,103.0,-50.0,-5.0,-66.0,42.0,9.0,1.0,9.0,1.0,1.0,1.0,32.0,0.0,32.0,27.0,1.0,27.0,7.0,1.0,7.0,-32.0,37.0,17.0,16.0,36.0,27.0,10.0,83.0,-62.0,-16.0,100.0,-3.0,-5.0,-66.0,42.0,32.0,1.0,32.0,16.0,0.0,16.0,10.0,0.0,10.0,16.0,1.0,16.0,7.0,1.0,7.0,11
-7.0,69.0,26.0,0.0,72.0,-2.0,32.0,85.0,-74.0,-23.0,104.0,-49.0,-6.0,-67.0,40.0,11.0,2.0,11.0,0.0,0.0,0.0,32.0,0.0,32.0,33.0,2.0,33.0,6.0,0.0,6.0,-31.0,38.0,16.0,16.0,36.0,27.0,10.0,83.0,-62.0,-12.0,101.0,-2.0,-6.0,-67.0,40.0,35.0,1.0,35.0,14.0,0.0,14.0,8.0,0.0,8.0,26.0,3.0,26.0,6.0,0.0,6.0,11
-9.0,67.0,32.0,0.0,72.0,-1.0,32.0,85.0,-72.0,-28.0,102.0,-50.0,-6.0,-67.0,40.0,9.0,1.0,9.0,0.0,1.0,0.0,14.0,22.0,14.0,28.0,4.0,28.0,6.0,0.0,6.0,-33.0,37.0,17.0,15.0,36.0,27.0,9.0,83.0,-62.0,-19.0,98.0,-2.0,-6.0,-67.0,40.0,33.0,0.0,33.0,15.0,0.0,15.0,7.0,22.0,7.0,19.0,4.0,19.0,6.0,0.0,6.0,11
-9.0,68.0,29.0,0.0,71.0,-1.0,23.0,107.0,-17.0,-26.0,106.0,-40.0,-5.0,-67.0,38.0,9.0,1.0,9.0,0.0,0.0,0.0,23.0,1.0,23.0,32.0,3.0,32.0,5.0,0.0,5.0,-32.0,37.0,16.0,16.0,36.0,28.0,1.0,105.0,-6.0,-16.0,102.0,8.0,-5.0,-67.0,38.0,32.0,1.0,32.0,16.0,0.0,16.0,1.0,1.0,1.0,22.0,3.0,22.0,5.0,0.0,5.0,11
-4.0,67.0,32.0,0.0,71.0,-3.0,24.0,106.0,-23.0,-29.0,103.0,-42.0,-5.0,-67.0,38.0,12.0,1.0,12.0,0.0,2.0,0.0,24.0,1.0,24.0,31.0,1.0,31.0,7.0,0.0,7.0,-27.0,36.0,18.0,17.0,36.0,27.0,2.0,104.0,-13.0,-19.0,99.0,6.0,-5.0,-67.0,38.0,35.0,1.0,35.0,17.0,2.0,17.0,2.0,1.0,2.0,21.0,1.0,21.0,7.0,0.0,7.0,11
-8.0,68.0,31.0,6.0,73.0,3.0,27.0,105.0,-19.0,-30.0,104.0,-37.0,-6.0,-67.0,38.0,26.0,0.0,26.0,6.0,0.0,6.0,25.0,1.0,25.0,38.0,2.0,38.0,6.0,1.0,6.0,-31.0,37.0,16.0,22.0,38.0,31.0,5.0,103.0,-9.0,-20.0,100.0,10.0,-6.0,-67.0,38.0,51.0,0.0,51.0,22.0,1.0,22.0,3.0,0.0,3.0,24.0,2.0,24.0,6.0,1.0,6.0,11
-17.0,68.0,32.0,16.0,73.0,11.0,26.0,106.0,-22.0,-34.0,102.0,-38.0,-6.0,-68.0,42.0,73.0,11.0,73.0,16.0,9.0,16.0,20.0,0.0,20.0,34.0,3.0,34.0,6.0,1.0,6.0,-41.0,37.0,23.0,33.0,37.0,40.0,4.0,103.0,-9.0,-22.0,98.0,9.0,-6.0,-68.0,42.0,97.0,12.0,97.0,33.0,8.0,33.0,2.0,0.0,2.0,22.0,4.0,22.0,6.0,1.0,6.0,11
-45.0,57.0,36.0,38.0,64.0,34.0,23.0,106.0,-31.0,-30.0,105.0,-35.0,-6.0,-69.0,39.0,69.0,10.0,69.0,38.0,12.0,38.0,23.0,1.0,23.0,36.0,2.0,36.0,6.0,0.0,6.0,-69.0,25.0,32.0,56.0,29.0,58.0,1.0,103.0,-14.0,-17.0,102.0,8.0,-6.0,-69.0,39.0,93.0,10.0,93.0,56.0,13.0,56.0,1.0,2.0,1.0,21.0,2.0,21.0,6.0,0.0,6.0,11
-57.0,47.0,35.0,54.0,52.0,57.0,23.0,105.0,-37.0,-33.0,103.0,-33.0,-6.0,-69.0,39.0,83.0,20.0,83.0,54.0,27.0,54.0,23.0,3.0,23.0,33.0,4.0,33.0,6.0,0.0,6.0,-81.0,15.0,35.0,72.0,16.0,82.0,2.0,101.0,-17.0,-19.0,100.0,8.0,-6.0,-69.0,39.0,105.0,20.0,105.0,72.0,26.0,72.0,2.0,2.0,2.0,19.0,4.0,19.0,6.0,0.0,6.0,11
-70.0,27.0,42.0,68.0,25.0,70.0,25.0,102.0,-42.0,-30.0,107.0,-26.0,-5.0,-69.0,40.0,86.0,33.0,86.0,68.0,32.0,68.0,25.0,0.0,25.0,38.0,4.0,38.0,5.0,0.0,5.0,-93.0,-5.0,46.0,88.0,-10.0,97.0,4.0,99.0,-19.0,-15.0,104.0,14.0,-5.0,-69.0,40.0,111.0,32.0,111.0,88.0,31.0,88.0,4.0,0.0,4.0,23.0,2.0,23.0,5.0,0.0,5.0,11
