left_arm_local_X,left_arm_local_Y,left_arm_local_Z,right_arm_local_X,right_arm_local_Y,right_arm_local_Z,left_leg_local_X,left_leg_local_Y,left_leg_local_Z,right_leg_local_X,right_leg_local_Y,right_leg_local_Z,waist_head_local_X,waist_head_local_Y,waist_head_local_Z,left_arm_local_distX,left_arm_local__distY,left_arm_local__distZ,right_arm_local__distX,right_arm_local__distY,right_arm_local__distZ,left_leg_local__distX,left_leg_local__distY,left_leg_local__distZ,right_leg_local__distX,right_leg_local__distY,right_leg_local__distZ,waist_head_local__distX,waist_head_local__distY,waist_head_local__distZ,left_arm_global_X,left_arm_global_Y,left_arm_global_Z,right_arm_global_X,right_arm_global_Y,right_arm_global_Z,left_leg_global_X,left_leg_global_Y,left_leg_global_Z,right_leg_global_X,right_leg_global_Y,right_leg_global_Z,waist_head_global_X,waist_head_global_Y,waist_head_global_Z,left_arm_global_distX,left_arm_global__distY,left_arm_global__distZ,right_arm_global__distX,right_arm_global__distY,right_arm_global__distZ,left_leg_global__distX,left_leg_global__distY,left_leg_global__distZ,right_leg_global__distX,right_leg_global__distY,right_global__leg_distZ,waist_head_global__distX,waist_head_global__distY,waist_head_global__distZ,label
-4.0,64.0,22.0,5.0,64.0,12.0,7.0,102.0,9.0,-12.0,104.0,3.0,-4.0,-68.0,38.0,6.0,1.0,6.0,3.0,1.0,3.0,7.0,0.0,7.0,12.0,0.0,12.0,4.0,4.0,4.0,-26.0,27.0,49.0,20.0,26.0,46.0,-17.0,102.0,38.0,7.0,103.0,45.0,-4.0,-68.0,38.0,26.0,1.0,26.0,20.0,1.0,20.0,17.0,0.0,17.0,7.0,0.0,7.0,4.0,4.0,4.0,5
-5.0,65.0,19.0,4.0,65.0,12.0,7.0,102.0,6.0,-11.0,104.0,4.0,-2.0,-64.0,34.0,5.0,1.0,5.0,4.0,0.0,4.0,7.0,0.0,7.0,11.0,0.0,11.0,4.0,4.0,4.0,-26.0,28.0,47.0,20.0,27.0,44.0,-16.0,102.0,36.0,8.0,103.0,44.0,-2.0,-64.0,34.0,26.0,0.0,26.0,20.0,0.0,20.0,16.0,0.0,16.0,8.0,0.0,8.0,4.0,4.0,4.0,5
-4.0,64.0,20.0,5.0,65.0,12.0,7.0,102.0,7.0,-11.0,104.0,3.0,-3.0,-68.0,38.0,4.0,1.0,4.0,3.0,0.0,3.0,7.0,0.0,7.0,11.0,1.0,11.0,3.0,3.0,3.0,-25.0,28.0,48.0,21.0,27.0,44.0,-16.0,102.0,36.0,8.0,103.0,44.0,-3.0,-68.0,38.0,25.0,0.0,25.0,19.0,0.0,19.0,16.0,0.0,16.0,8.0,0.0,8.0,3.0,3.0,3.0,5
-4.0,65.0,23.0,4.0,65.0,13.0,7.0,102.0,6.0,-11.0,103.0,3.0,-3.0,-65.0,35.0,4.0,1.0,4.0,4.0,1.0,4.0,7.0,1.0,7.0,13.0,1.0,13.0,9.0,3.0,9.0,-25.0,28.0,48.0,20.0,27.0,45.0,-16.0,102.0,36.0,8.0,103.0,44.0,-3.0,-65.0,35.0,27.0,1.0,27.0,18.0,1.0,18.0,18.0,0.0,18.0,4.0,0.0,4.0,9.0,3.0,9.0,5
-4.0,64.0,21.0,4.0,64.0,12.0,7.0,103.0,8.0,-12.0,104.0,1.0,-6.0,-68.0,40.0,6.0,0.0,6.0,4.0,1.0,4.0,7.0,0.0,7.0,12.0,0.0,12.0,6.0,0.0,6.0,-26.0,27.0,45.0,19.0,26.0,44.0,-17.0,102.0,36.0,6.0,103.0,44.0,-6.0,-68.0,40.0,26.0,0.0,26.0,19.0,1.0,19.0,17.0,0.0,17.0,6.0,0.0,6.0,6.0,0.0,6.0,5
-5.0,64.0,22.0,5.0,65.0,9.0,8.0,103.0,4.0,-10.0,104.0,5.0,-4.0,-68.0,39.0,5.0,1.0,5.0,5.0,0.0,5.0,6.0,0.0,6.0,12.0,0.0,12.0,4.0,1.0,4.0,-26.0,27.0,49.0,21.0,27.0,43.0,-15.0,102.0,36.0,9.0,103.0,44.0,-4.0,-68.0,39.0,26.0,1.0,26.0,21.0,0.0,21.0,17.0,1.0,17.0,7.0,0.0,7.0,4.0,1.0,4.0,5
-4.0,65.0,17.0,5.0,65.0,11.0,7.0,103.0,8.0,-11.0,104.0,0.0,-3.0,-67.0,39.0,6.0,0.0,6.0,5.0,1.0,5.0,7.0,0.0,7.0,11.0,0.0,11.0,5.0,0.0,5.0,-25.0,28.0,44.0,21.0,27.0,44.0,-16.0,103.0,38.0,8.0,103.0,42.0,-3.0,-67.0,39.0,27.0,0.0,27.0,21.0,1.0,21.0,16.0,1.0,16.0,8.0,0.0,8.0,5.0,0.0,5.0,5
-5.0,65.0,21.0,5.0,64.0,11.0,8.0,103.0,6.0,-11.0,104.0,5.0,-4.0,-67.0,39.0,5.0,0.0,5.0,5.0,0.0,5.0,6.0,1.0,6.0,13.0,1.0,13.0,6.0,1.0,6.0,-26.0,28.0,47.0,21.0,26.0,42.0,-15.0,102.0,38.0,9.0,103.0,43.0,-4.0,-67.0,39.0,26.0,0.0,26.0,19.0,0.0,19.0,19.0,0.0,19.0,5.0,0.0,5.0,6.0,1.0,6.0,5
-4.0,65.0,18.0,5.0,64.0,11.0,7.0,102.0,8.0,-12.0,103.0,1.0,-5.0,-68.0,39.0,4.0,0.0,4.0,5.0,0.0,5.0,7.0,0.0,7.0,12.0,1.0,12.0,5.0,0.0,5.0,-26.0,28.0,45.0,20.0,26.0,44.0,-17.0,102.0,37.0,7.0,103.0,43.0,-5.0,-68.0,39.0,26.0,0.0,26.0,20.0,0.0,20.0,17.0,0.0,17.0,7.0,0.0,7.0,5.0,0.0,5.0,5
-4.0,65.0,20.0,5.0,64.0,14.0,8.0,102.0,5.0,-10.0,104.0,4.0,-5.0,-68.0,41.0,4.0,0.0,4.0,5.0,1.0,5.0,6.0,1.0,6.0,14.0,1.0,14.0,5.0,1.0,5.0,-25.0,28.0,47.0,21.0,26.0,48.0,-15.0,102.0,37.0,9.0,103.0,43.0,-5.0,-68.0,41.0,27.0,0.0,27.0,19.0,1.0,19.0,19.0,1.0,19.0,3.0,0.0,3.0,5.0,1.0,5.0,5
