left_arm_local_X,left_arm_local_Y,left_arm_local_Z,right_arm_local_X,right_arm_local_Y,right_arm_local_Z,left_leg_local_X,left_leg_local_Y,left_leg_local_Z,right_leg_local_X,right_leg_local_Y,right_leg_local_Z,waist_head_local_X,waist_head_local_Y,waist_head_local_Z,left_arm_local_distX,left_arm_local__distY,left_arm_local__distZ,right_arm_local__distX,right_arm_local__distY,right_arm_local__distZ,left_leg_local__distX,left_leg_local__distY,left_leg_local__distZ,right_leg_local__distX,right_leg_local__distY,right_leg_local__distZ,waist_head_local__distX,waist_head_local__distY,waist_head_local__distZ,left_arm_global_X,left_arm_global_Y,left_arm_global_Z,right_arm_global_X,right_arm_global_Y,right_arm_global_Z,left_leg_global_X,left_leg_global_Y,left_leg_global_Z,right_leg_global_X,right_leg_global_Y,right_leg_global_Z,waist_head_global_X,waist_head_global_Y,waist_head_global_Z,left_arm_global_distX,left_arm_global__distY,left_arm_global__distZ,right_arm_global__distX,right_arm_global__distY,right_arm_global__distZ,left_leg_global__distX,left_leg_global__distY,left_leg_global__distZ,right_leg_global__distX,right_leg_global__distY,right_global__leg_distZ,waist_head_global__distX,waist_head_global__distY,waist_head_global__distZ,label
-6.0,64.0,33.0,4.0,63.0,2.0,4.0,97.0,-9.0,2.0,97.0,-9.0,-1.0,-57.0,7.0,6.0,1.0,6.0,2.0,1.0,2.0,4.0,0.0,4.0,2.0,0.0,2.0,1.0,0.0,1.0,-24.0,32.0,21.0,20.0,32.0,-7.0,-11.0,95.0,7.0,17.0,96.0,7.0,-1.0,-57.0,7.0,24.0,1.0,24.0,20.0,1.0,20.0,11.0,0.0,11.0,17.0,0.0,17.0,1.0,0.0,1.0,8
-5.0,65.0,32.0,3.0,64.0,4.0,4.0,97.0,-10.0,2.0,97.0,-7.0,-1.0,-57.0,7.0,9.0,0.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,-23.0,33.0,20.0,20.0,33.0,-5.0,-11.0,95.0,7.0,17.0,96.0,8.0,-1.0,-57.0,7.0,27.0,1.0,27.0,16.0,0.0,16.0,17.0,1.0,17.0,9.0,0.0,9.0,1.0,1.0,1.0,8
-7.0,65.0,31.0,2.0,64.0,5.0,2.0,98.0,-6.0,0.0,97.0,-12.0,-1.0,-56.0,6.0,7.0,0.0,7.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,-25.0,34.0,16.0,18.0,33.0,-3.0,-14.0,96.0,6.0,13.0,96.0,8.0,-1.0,-56.0,6.0,25.0,0.0,25.0,18.0,1.0,18.0,14.0,0.0,14.0,13.0,0.0,13.0,1.0,0.0,1.0,8
-7.0,65.0,33.0,2.0,65.0,8.0,2.0,98.0,-5.0,-1.0,96.0,-11.0,-1.0,-56.0,4.0,7.0,1.0,7.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,-25.0,34.0,17.0,18.0,34.0,-1.0,-14.0,96.0,7.0,13.0,96.0,8.0,-1.0,-56.0,4.0,25.0,1.0,25.0,18.0,0.0,18.0,14.0,0.0,14.0,13.0,1.0,13.0,1.0,0.0,1.0,8
-5.0,66.0,32.0,8.0,66.0,23.0,2.0,98.0,-6.0,0.0,98.0,-9.0,-1.0,-56.0,3.0,7.0,1.0,7.0,4.0,9.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,-23.0,35.0,16.0,24.0,34.0,15.0,-13.0,96.0,8.0,14.0,97.0,9.0,-1.0,-56.0,3.0,27.0,0.0,27.0,18.0,9.0,18.0,15.0,1.0,15.0,14.0,1.0,14.0,3.0,0.0,3.0,8
-6.0,65.0,36.0,6.0,57.0,82.0,2.0,96.0,-5.0,1.0,98.0,-9.0,-2.0,-56.0,4.0,6.0,0.0,6.0,8.0,20.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,-25.0,35.0,20.0,21.0,25.0,74.0,-14.0,97.0,9.0,14.0,96.0,9.0,-2.0,-56.0,4.0,25.0,1.0,25.0,7.0,20.0,7.0,14.0,0.0,14.0,14.0,0.0,14.0,2.0,0.0,2.0,8
-2.0,65.0,25.0,-1.0,37.0,126.0,3.0,95.0,-9.0,2.0,99.0,-6.0,-1.0,-56.0,5.0,8.0,1.0,8.0,23.0,26.0,23.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,-21.0,34.0,11.0,14.0,5.0,115.0,-12.0,97.0,8.0,16.0,96.0,10.0,-1.0,-56.0,5.0,27.0,1.0,27.0,8.0,25.0,8.0,14.0,0.0,14.0,14.0,0.0,14.0,3.0,0.0,3.0,8
-5.0,64.0,29.0,-12.0,11.0,132.0,3.0,96.0,-7.0,1.0,99.0,-6.0,-2.0,-56.0,4.0,5.0,0.0,5.0,48.0,38.0,48.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,-24.0,33.0,14.0,3.0,-20.0,121.0,-13.0,97.0,9.0,15.0,96.0,10.0,-2.0,-56.0,4.0,24.0,1.0,24.0,29.0,37.0,29.0,15.0,0.0,15.0,15.0,1.0,15.0,2.0,1.0,2.0,8
-4.0,64.0,23.0,-30.0,-27.0,121.0,1.0,96.0,-5.0,1.0,98.0,-7.0,-1.0,-57.0,-5.0,4.0,1.0,4.0,30.0,6.0,30.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,2.0,5.0,-21.0,32.0,8.0,-13.0,-57.0,112.0,-14.0,97.0,10.0,15.0,97.0,9.0,-1.0,-57.0,-5.0,21.0,0.0,21.0,13.0,7.0,13.0,14.0,1.0,14.0,13.0,1.0,13.0,5.0,2.0,5.0,8
-4.0,65.0,27.0,-29.0,-33.0,113.0,1.0,96.0,-5.0,0.0,98.0,-9.0,-3.0,-55.0,-13.0,6.0,1.0,6.0,33.0,3.0,33.0,1.0,1.0,1.0,2.0,0.0,2.0,7.0,3.0,7.0,-21.0,32.0,8.0,-13.0,-64.0,105.0,-14.0,96.0,8.0,14.0,96.0,10.0,-3.0,-55.0,-13.0,25.0,1.0,25.0,19.0,2.0,19.0,18.0,1.0,18.0,10.0,1.0,10.0,7.0,3.0,7.0,8
